,full_name,swim_time_formatted,swim_date
0,"Ledecky, Katie","=""1:53.73""","=""8/9/2016"""
1,"Ledecky, Katie","=""1:54.40""","=""4/8/2021"""
2,"Ledecky, Katie","=""1:54.43""","=""1/16/2016"""
4,"Ledecky, Katie","=""1:54.56""","=""6/8/2018"""
5,"Ledecky, Katie","=""1:54.59""","=""3/6/2020"""
6,"Ledecky, Katie","=""1:54.60""","=""7/26/2018"""
7,"Ledecky, Katie","=""1:54.69""","=""7/25/2017"""
8,"Ledecky, Katie","=""1:54.81""","=""8/8/2016"""
9,"Ledecky, Katie","=""1:54.82""","=""5/13/2016"""
10,"Ledecky, Katie","=""1:54.84""","=""6/28/2017"""
11,"Ledecky, Katie","=""1:54.85""","=""5/13/2016"""
12,"Ledecky, Katie","=""1:54.88""","=""6/29/2016"""
14,"Ledecky, Katie","=""1:55.01""","=""8/8/2016"""
15,"Ledecky, Katie","=""1:55.10""","=""6/28/2016"""
16,"Ledecky, Katie","=""1:55.15""","=""8/9/2018"""
17,"Ledecky, Katie","=""1:55.16""","=""8/9/2018"""
18,"Ledecky, Katie","=""1:55.18""","=""7/26/2017"""
19,"Ledecky, Katie","=""1:55.32""","=""11/30/2018"""
20,"Ledecky, Katie","=""1:55.34""","=""6/3/2017"""
21,"Ledecky, Katie","=""1:55.37""","=""11/12/2015"""
22,"Ledecky, Katie","=""1:55.40""","=""4/8/2021"""
23,"Ledecky, Katie","=""1:55.42""","=""5/18/2018"""
24,"Ledecky, Katie","=""1:55.47""","=""5/21/2021"""
26,"Ledecky, Katie","=""1:55.60""","=""6/28/2016"""
27,"Ledecky, Katie","=""1:55.68""","=""11/8/2019"""
28,"Ledecky, Katie","=""1:55.71""","=""4/14/2016"""
29,"Ledecky, Katie","=""1:55.73""","=""3/3/2016"""
30,"Ledecky, Katie","=""1:55.78""","=""1/10/2019"""
31,"Ledecky, Katie","=""1:55.80""","=""5/18/2019"""
32,"Ledecky, Katie","=""1:55.82""","=""6/8/2018"""
33,"Schmitt, Allison","=""1:55.82""","=""7/26/2018"""
34,"Ledecky, Katie","=""1:55.87""","=""6/28/2017"""
35,"Ledecky, Katie","=""1:55.89""","=""6/22/2019"""
39,"Schmitt, Allison","=""1:56.01""","=""1/17/2020"""
42,"Smith, Leah","=""1:56.06""","=""7/26/2017"""
45,"Ledecky, Katie","=""1:56.19""","=""3/6/2020"""
46,"Ledecky, Katie","=""1:56.19""","=""5/21/2021"""
49,"Ledecky, Katie","=""1:56.24""","=""12/6/2019"""
50,"Ledecky, Katie","=""1:56.25""","=""6/3/2017"""
51,"Ledecky, Katie","=""1:56.26""","=""5/6/2017"""
