="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id",="sanction_status"
="1","Ledecky, Katie",="200",="154095790",="200 FR LCM",="24",="1:54.40",="1:54.40",="2020 Olympic Trials Wave II",="2021 TYR Pro Swim Series - Mis",="4/8/2021",="Nation's Capital Swim Club",="PV",="",="1071",="57",="Yes"
="2","Haughey, Siobhan",="200",="150879715",="200 FR LCM",="22",="1:54.44",="1:54.44",="2020 Olympic Trials Wave II",="2020 Hong Kong TT",="8/7/2020",="Club Wolverine",="MI",="Yes",="1070",="57",="Yes"
="3","Ledecky, Katie",="200",="150581678",="200 FR LCM",="22",="1:54.59",="1:54.59",="2020 Olympic Trials Wave II",="2020 Pro Series - Des Moines",="3/6/2020",="Nation's Capital Swim Club",="PV",="",="1066",="57",="Yes"
="4","Haughey, Siobhan",="200",="149089004",="200 FR LCM",="21",="1:54.98",="1:54.98",="2020 Olympic Trials Wave II",="2019 World Champs",="7/24/2019",="Club Wolverine",="MI",="Yes",="1056",="57",="Yes"
="5","Ledecky, Katie",="200",="154094282",="200 FR LCM",="24",="1:55.40",="1:55.40",="2020 Olympic Trials Wave II",="2021 TYR Pro Swim Series - Mis",="4/8/2021",="Nation's Capital Swim Club",="PV",="",="1044",="57",="Yes"
="6","Ledecky, Katie",="200",="154760394",="200 FR LCM",="24",="1:55.47",="1:55.47",="2020 Olympic Trials Wave II",="2021 ST TXLA Longhorn Aquatics Elite Invite",="5/21/2021",="Nation's Capital Swim Club",="PV",="",="1043",="57",="Yes"
="7","Haughey, Siobhan",="200",="149089006",="200 FR LCM",="21",="1:55.58",="1:55.58",="2020 Olympic Trials Wave II",="2019 World Champs",="7/23/2019",="Club Wolverine",="MI",="Yes",="1040",="57",="Yes"
="8","Ledecky, Katie",="200",="148235168",="200 FR LCM",="22",="1:55.68",="1:55.68",="2020 Olympic Trials Wave II",="2020 Pro Series - Greensboro",="11/8/2019",="Nation's Capital Swim Club",="PV",="",="1037",="57",="Yes"
="9","Ledecky, Katie",="200",="136879979",="200 FR LCM",="21",="1:55.78",="1:55.78",="2020 Olympic Trials Wave II",="2019 Pro Series - Knoxville",="1/10/2019",="Nation's Capital Swim Club",="PV",="",="1034",="57",="Yes"
="10","Ledecky, Katie",="200",="141088584",="200 FR LCM",="22",="1:55.80",="1:55.80",="2020 Olympic Trials Wave II",="2019 Pro Series - Bloomington",="5/18/2019",="Nation's Capital Swim Club",="PV",="",="1034",="57",="Yes"
="11","Ledecky, Katie",="200",="142150246",="200 FR LCM",="22",="1:55.89",="1:55.89",="2020 Olympic Trials Wave II",="2019 PC CAL-ALTO Dual",="6/22/2019",="Nation's Capital Swim Club",="PV",="",="1032",="57",="Yes"
="12","Schmitt, Allison",="200",="148232532",="200 FR LCM",="29",="1:56.01",="1:56.01",="2020 Olympic Trials Wave II",="2020 Pro Series - Knoxville",="1/17/2020",="Sun Devil Swimming",="AZ",="",="1028",="57",="Yes"
="13","Haughey, Siobhan",="200",="149089005",="200 FR LCM",="21",="1:56.02",="1:56.02",="2020 Olympic Trials Wave II",="2019 World Champs",="7/23/2019",="Club Wolverine",="MI",="Yes",="1028",="57",="Yes"
