="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id",="sanction_status"
="1","Haas, Townley",="200",="120256754",="200 FR LCM",="20",="1:45.03",="1:45.03",="2021 Summer Nationals (LCM)",="2017 Summer Nationals",="6/28/2017","NOVA of Virginia Aquatics, Inc",="VA",="",="1059",="57",="Yes"
="2","Haas, Townley",="200",="149096917",="200 FR LCM",="20",="1:45.04",="1:45.04",="2021 Summer Nationals (LCM)",="2017 World Champs",="7/25/2017",="Unattached",="VA",="",="1059",="57",="Yes"
="3","Dwyer, Conor",="200",="110494991",="200 FR LCM",="27",="1:45.23",="1:45.23",="2021 Summer Nationals (LCM)",="2016 Olympic Games",="8/8/2016",="Trojan Swim Club",="CA",="",="1054",="57",="Yes"
="3","Dwyer, Conor",="200",="110503852",="200 FR LCM",="27",="1:45.23r",="1:45.23",="2021 Summer Nationals (LCM)",="2016 Olympic Games",="8/9/2016",="Trojan Swim Club",="CA",="",="1054",="57",="Yes"
="5","Dwyer, Conor",="200",="108052562",="200 FR LCM",="27",="1:45.41",="1:45.41",="2020 Olympic Trials Wave I",="2016 Pro Series -  Santa Clara",="6/3/2016",="Trojan Swim Club",="CA",="",="1049",="57",="Yes"
="6","Haas, Townley",="200",="149096919",="200 FR LCM",="20",="1:45.43",="1:45.43",="2021 Summer Nationals (LCM)",="2017 World Champs",="7/24/2017",="Unattached",="VA",="",="1049",="57",="Yes"
="7","Dwyer, Conor",="200",="110489939",="200 FR LCM",="27",="1:45.55",="1:45.55",="2021 Summer Nationals (LCM)",="2016 Olympic Games",="8/7/2016",="Trojan Swim Club",="CA",="",="1046",="57",="Yes"
="8","Haas, Townley",="200",="132972680",="200 FR LCM",="21",="1:45.56",="1:45.56",="2021 Summer Nationals (LCM)",="2018 Pan Pacific Champs",="8/9/2018",="Unattached",="VA",="",="1046",="57",="Yes"
="9","Haas, Townley",="200",="110495002",="200 FR LCM",="19",="1:45.58",="1:45.58",="2021 Summer Nationals (LCM)",="2016 Olympic Games",="8/8/2016","NOVA of Virginia Aquatics, Inc",="VA",="",="1045",="57",="Yes"
="10","Haas, Townley",="200",="109106031",="200 FR LCM",="19",="1:45.66",="1:45.66",="2021 Summer Nationals (LCM)",="2016 Olympic Trials ",="6/28/2016","NOVA of Virginia Aquatics, Inc",="VA",="",="1043",="57",="Yes"
