="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id",="sanction_status"
="1","Seliskar, Andrew",="200",="149100835",="200 FR LCM",="22",="1:45.71r",="1:45.71",="2020 Olympic Trials Wave II",="2019 World Champs",="7/26/2019",="California Aquatics",="PC",="",="1042",="57",="Yes"
="2","Seliskar, Andrew",="200",="149100834",="200 FR LCM",="22",="1:45.81r",="1:45.81",="2020 Olympic Trials Wave II",="2019 World Champs",="7/26/2019",="California Aquatics",="PC",="",="1039",="57",="Yes"
="3","Haas, Townley",="200",="148832132",="200 FR LCM",="22",="1:45.92",="1:45.92",="2020 Olympic Trials Wave II",="2019 U.S. Open",="12/6/2019","NOVA of Virginia Aquatics, Inc",="VA",="",="1036",="57",="Yes"
="4","Smith, Kieran",="200",="143723675",="200 FR LCM",="19",="1:46.21",="1:46.21",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="8/1/2019",="Ridgefield Aquatic Club",="CT",="",="1029",="57",="Yes"
="5","Smith, Kieran",="200",="143732170",="200 FR LCM",="19",="1:46.25",="1:46.25",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="8/1/2019",="Ridgefield Aquatic Club",="CT",="",="1028",="57",="Yes"
="6","Smith, Kieran",="200",="154583452",="200 FR LCM",="20",="1:46.30",="1:46.30",="2020 Olympic Trials Wave II",="2021 GA SwimAtlanta's Mizuno 2021",="5/14/2021",="University of Florida",="FL",="",="1026",="57",="Yes"
="7","Haas, Townley",="200",="149088962",="200 FR LCM",="22",="1:46.37",="1:46.37",="2020 Olympic Trials Wave II",="2019 World Champs",="7/22/2019","NOVA of Virginia Aquatics, Inc",="VA",="",="1025",="57",="Yes"
="8","Farris, Dean",="200",="143732078",="200 FR LCM",="21",="1:46.45",="1:46.45",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="8/1/2019",="Harvard Swimming",="NE",="",="1023",="57",="Yes"
="9","Smith, Kieran",="200",="154583453",="200 FR LCM",="20",="1:46.46",="1:46.46",="2020 Olympic Trials Wave II",="2021 GA SwimAtlanta's Mizuno 2021",="5/14/2021",="University of Florida",="FL",="",="1022",="57",="Yes"
="10","Urlando, Luca",="200",="143732190",="200 FR LCM",="17",="1:46.51",="1:46.51",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="8/1/2019",="DART Swimming",="SN",="",="1024",="57",="Yes"
="11","Pieroni, Blake",="200",="143740660",="200 FR LCM",="23",="1:46.62",="1:46.62",="2020 Olympic Trials Wave II",="2019 World Cup - Tokyo",="8/4/2019",="Indiana Swim Club",="IN",="",="1018",="57",="Yes"
="12","Auboeck, Felix",="200",="150858868",="200 FR LCM",="23",="1:46.64",="1:46.64",="2020 Olympic Trials Wave II",="2020 4 Nations Meet",="7/24/2020",="Univ. Of Michigan Swim Team",="MI",="Yes",="1018",="57",="Yes"
="13","Seliskar, Andrew",="200",="149090276",="200 FR LCM",="22",="1:46.74",="1:46.74",="2020 Olympic Trials Wave II",="2019 World Champs",="7/22/2019",="California Aquatics",="PC",="",="1015",="57",="Yes"
="14","Apple, Zach",="200",="148830819",="200 FR LCM",="22",="1:46.76",="1:46.76",="2020 Olympic Trials Wave II",="2019 U.S. Open",="12/6/2019",="Mission Viejo Nadadores",="CA",="",="1015",="57",="Yes"
="15","Rooney, Maxime",="200",="143732161",="200 FR LCM",="21",="1:46.78",="1:46.78",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="8/1/2019",="Pleasanton Seahawks",="PC",="",="1014",="57",="Yes"
="16","Apple, Zach",="200",="143503983",="200 FR LCM",="22",="1:46.80",="1:46.80",="2020 Olympic Trials Wave II",="2019 WUGS",="7/6/2019",="Indiana Swim Club",="IN",="",="1014",="57",="Yes"
