,full_name,swim_time_formatted,swim_date
0,"Manuel, Simone","=""52.04""","=""7/26/2019"""
1,"Manuel, Simone","=""52.27""","=""7/28/2017"""
2,"Manuel, Simone","=""52.54""","=""7/25/2018"""
4,"Manuel, Simone","=""52.66""","=""8/10/2018"""
5,"Manuel, Simone","=""52.69""","=""7/27/2017"""
6,"Manuel, Simone","=""52.70""","=""8/11/2016"""
9,"Comerford, Mallory","=""52.77""","=""7/28/2017"""
10,"Comerford, Mallory","=""52.81""","=""6/27/2017"""
11,"Comerford, Mallory","=""52.85""","=""7/27/2017"""
12,"Comerford, Mallory","=""52.94""","=""8/10/2018"""
17,"Manuel, Simone","=""53.05""","=""6/27/2017"""
18,"Comerford, Mallory","=""53.09""","=""7/25/2018"""
19,"Comerford, Mallory","=""53.10""","=""7/25/2019"""
20,"Manuel, Simone","=""53.10""","=""7/25/2019"""
21,"Manuel, Simone","=""53.11""","=""8/10/2016"""
22,"Manuel, Simone","=""53.17""","=""7/27/2017"""
23,"Weitzeil, Abbey","=""53.18""","=""7/31/2019"""
25,"Comerford, Mallory","=""53.22""","=""7/26/2019"""
26,"Manuel, Simone","=""53.23""","=""8/10/2018"""
27,"Comerford, Mallory","=""53.26""","=""6/27/2017"""
29,"Manuel, Simone","=""53.28""","=""7/25/2018"""
30,"Weitzeil, Abbey","=""53.28""","=""7/1/2016"""
31,"Comerford, Mallory","=""53.30""","=""8/10/2018"""
33,"Manuel, Simone","=""53.30""","=""6/7/2019"""
34,"Weitzeil, Abbey","=""53.30""","=""8/11/2016"""
35,"Manuel, Simone","=""53.31""","=""7/25/2019"""
39,"Manuel, Simone","=""53.32""","=""8/10/2016"""
40,"Comerford, Mallory","=""53.33""","=""4/18/2019"""
41,"Manuel, Simone","=""53.34""","=""11/21/2020"""
42,"Comerford, Mallory","=""53.36""","=""7/25/2018"""
44,"Manuel, Simone","=""53.38""","=""12/1/2018"""
47,"Brown, Erika","=""53.42""","=""12/7/2019"""
48,"Comerford, Mallory","=""53.42""","=""7/27/2017"""
49,"Manuel, Simone","=""53.42""","=""1/12/2019"""
50,"Geer, Margo","=""53.44""","=""7/25/2018"""
51,"Manuel, Simone","=""53.44""","=""1/19/2020"""
52,"Manuel, Simone","=""53.44""","=""11/7/2019"""
54,"Huske, Torri","=""53.46""","=""4/9/2021"""
55,"Weitzeil, Abbey","=""53.47""","=""7/31/2019"""
57,"Brown, Erika","=""53.49""","=""1/19/2020"""
58,"Manuel, Simone","=""53.49""","=""1/19/2020"""
60,"Manuel, Simone","=""53.50""","=""12/1/2018"""
61,"Manuel, Simone","=""53.50""","=""6/27/2017"""
63,"Manuel, Simone","=""53.52""","=""7/1/2016"""
65,"Weitzeil, Abbey","=""53.53""","=""8/10/2016"""
66,"Weitzeil, Abbey","=""53.54""","=""8/10/2016"""
67,"Curzan, Claire","=""53.55""","=""5/16/2021"""
68,"Manuel, Simone","=""53.55""","=""5/17/2019"""
69,"Manuel, Simone","=""53.55""","=""3/5/2020"""
70,"Weitzeil, Abbey","=""53.56""","=""7/25/2018"""
71,"Comerford, Mallory","=""53.57""","=""7/25/2019"""
72,"Weitzeil, Abbey","=""53.57""","=""6/30/2016"""
73,"Weitzeil, Abbey","=""53.58""","=""6/30/2016"""
75,"Neal, Lia","=""53.59""","=""6/27/2017"""
79,"Manuel, Simone","=""53.64""","=""6/30/2016"""
81,"Manuel, Simone","=""53.65""","=""5/17/2019"""
82,"Manuel, Simone","=""53.66""","=""4/13/2017"""
83,"Weitzeil, Abbey","=""53.66""","=""4/24/2021"""
