="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id",="sanction_status"
="1","Ledecky, Katie",="200",="110499562",="200 FR LCM",="19",="1:53.73",="1:53.73",="2021 Summer Nationals (LCM)",="2016 Olympic Games",="8/9/2016",="Nation's Capital Swim Club",="PV",="",="1089",="57",="Yes"
="2","Ledecky, Katie",="200",="154095790",="200 FR LCM",="24",="1:54.40",="1:54.40",="2020 Olympic Trials Wave II",="2021 TYR Pro Swim Series - Mis",="4/8/2021",="Nation's Capital Swim Club",="PV",="",="1071",="57",="Yes"
="3","Ledecky, Katie",="200",="103586268",="200 FR LCM",="18",="1:54.43",="1:54.43",="2020 Olympic Trials Wave I",="2016 Pro Series - Austin",="1/16/2016",="Nation's Capital Swim Club",="PV",="",="1070",="57",="Yes"
="4","Haughey, Siobhan",="200",="150879715",="200 FR LCM",="22",="1:54.44",="1:54.44",="2020 Olympic Trials Wave II",="2020 Hong Kong TT",="8/7/2020",="Club Wolverine",="MI",="Yes",="1070",="57",="Yes"
="5","Ledecky, Katie",="200",="130719929",="200 FR LCM",="21",="1:54.56",="1:54.56",="2021 Summer Nationals (LCM)",="2018 Pro Series - Santa Clara ",="6/8/2018",="Stanford Swimming",="PC",="",="1067",="57",="Yes"
="6","Ledecky, Katie",="200",="150581678",="200 FR LCM",="22",="1:54.59",="1:54.59",="2020 Olympic Trials Wave II",="2020 Pro Series - Des Moines",="3/6/2020",="Nation's Capital Swim Club",="PV",="",="1066",="57",="Yes"
="7","Ledecky, Katie",="200",="132599204",="200 FR LCM",="21",="1:54.60",="1:54.60",="2021 Summer Nationals (LCM)",="2018 Summer Nationals",="7/26/2018",="Stanford Swimming",="PC",="",="1066",="57",="Yes"
="8","Ledecky, Katie",="200",="149097407",="200 FR LCM",="20",="1:54.69",="1:54.69",="2021 Summer Nationals (LCM)",="2017 World Champs",="7/25/2017",="Unattached",="PC",="",="1063",="57",="Yes"
="9","Ledecky, Katie",="200",="110495026",="200 FR LCM",="19",="1:54.81",="1:54.81",="2021 Summer Nationals (LCM)",="2016 Olympic Games",="8/8/2016",="Nation's Capital Swim Club",="PV",="",="1060",="57",="Yes"
="10","Ledecky, Katie",="200",="107516628",="200 FR LCM",="19",="1:54.82",="1:54.82",="2020 Olympic Trials Wave I",="2016 Atlanta Classic Swim Meet",="5/13/2016",="Nation's Capital Swim Club",="PV",="",="1060",="57",="Yes"
="11","Ledecky, Katie",="200",="120256781",="200 FR LCM",="20",="1:54.84",="1:54.84",="2021 Summer Nationals (LCM)",="2017 Summer Nationals",="6/28/2017",="Stanford Swimming",="PC",="",="1059",="57",="Yes"
="12","Ledecky, Katie",="200",="107516627",="200 FR LCM",="19",="1:54.85",="1:54.85",="2020 Olympic Trials Wave I",="2016 Atlanta Classic Swim Meet",="5/13/2016",="Nation's Capital Swim Club",="PV",="",="1059",="57",="Yes"
="13","Ledecky, Katie",="200",="109169190",="200 FR LCM",="19",="1:54.88",="1:54.88",="2021 Summer Nationals (LCM)",="2016 Olympic Trials ",="6/29/2016",="Nation's Capital Swim Club",="PV",="",="1058",="57",="Yes"
="14","Haughey, Siobhan",="200",="149089004",="200 FR LCM",="21",="1:54.98",="1:54.98",="2020 Olympic Trials Wave II",="2019 World Champs",="7/24/2019",="Club Wolverine",="MI",="Yes",="1056",="57",="Yes"
="15","Ledecky, Katie",="200",="110489987",="200 FR LCM",="19",="1:55.01",="1:55.01",="2021 Summer Nationals (LCM)",="2016 Olympic Games",="8/8/2016",="Nation's Capital Swim Club",="PV",="",="1055",="57",="Yes"
="16","Ledecky, Katie",="200",="109106042",="200 FR LCM",="19",="1:55.10",="1:55.10",="2021 Summer Nationals (LCM)",="2016 Olympic Trials ",="6/28/2016",="Nation's Capital Swim Club",="PV",="",="1052",="57",="Yes"
="17","Ledecky, Katie",="200",="132972786",="200 FR LCM",="21",="1:55.15",="1:55.15",="2021 Summer Nationals (LCM)",="2018 Pan Pacific Champs",="8/9/2018",="Unattached",="PC",="",="1051",="57",="Yes"
="18","Ledecky, Katie",="200",="132994879",="200 FR LCM",="21",="1:55.16",="1:55.16",="2021 Summer Nationals (LCM)",="2018 Pan Pacific Champs",="8/9/2018",="Unattached",="PC",="",="1051",="57",="Yes"
="19","Ledecky, Katie",="200",="149097405",="200 FR LCM",="20",="1:55.18",="1:55.18",="2021 Summer Nationals (LCM)",="2017 World Champs",="7/26/2017",="Unattached",="PC",="",="1050",="57",="Yes"
