,full_name,swim_time_formatted,meet_name,swim_date
0,"Dressel, Caeleb","=""46.96""","=""2019 World Champs""","=""7/25/2019"""
1,"Dressel, Caeleb","=""47.17""","=""2017 World Champs""","=""7/27/2017"""
4,"Dressel, Caeleb","=""47.32""","=""2019 World Champs""","=""7/24/2019"""
6,"Dressel, Caeleb","=""47.35""","=""2019 World Champs""","=""7/24/2019"""
7,"Held, Ryan","=""47.39""","=""2019 Summer Nationals""","=""7/31/2019"""
8,"Held, Ryan","=""47.43""","=""2019 Summer Nationals""","=""7/31/2019"""
10,"Rooney, Maxime","=""47.61""","=""2019 Summer Nationals""","=""7/31/2019"""
12,"Dressel, Caeleb","=""47.66""","=""2017 World Champs""","=""7/26/2017"""
13,"Apple, Zach","=""47.69""","=""2019 U.S. Open""","=""12/7/2019"""
14,"Adrian, Nathan","=""47.72""","=""2016 Olympic Trials ""","=""6/30/2016"""
16,"Rooney, Maxime","=""47.75""","=""2019 Summer Nationals""","=""7/31/2019"""
18,"Adrian, Nathan","=""47.83""","=""2016 Olympic Games""","=""8/9/2016"""
19,"Adrian, Nathan","=""47.85""","=""2016 Olympic Games""","=""8/10/2016"""
20,"Adrian, Nathan","=""47.85""","=""2017 World Champs""","=""7/26/2017"""
21,"Dressel, Caeleb","=""47.86""","=""2019 GA Atlanta Classic Swim Meet""","=""5/19/2019"""
22,"Adrian, Nathan","=""47.87""","=""2017 World Champs""","=""7/27/2017"""
23,"Pieroni, Blake","=""47.87""","=""2019 World Champs""","=""7/24/2019"""
25,"Jackson, Tate","=""47.88""","=""2019 Summer Nationals""","=""7/31/2019"""
27,"Pieroni, Blake","=""47.88""","=""2019 World Champs""","=""7/25/2019"""
28,"Dressel, Caeleb","=""47.90""","=""2019 CA MVN SMOC""","=""6/21/2019"""
29,"Adrian, Nathan","=""47.91""","=""2016 Olympic Trials ""","=""6/29/2016"""
30,"Dressel, Caeleb","=""47.91""","=""2016 Olympic Games""","=""8/9/2016"""
32,"Adrian, Nathan","=""47.96""","=""2017 Summer Nationals""","=""6/27/2017"""
33,"Dressel, Caeleb","=""47.97""","=""2017 Summer Nationals""","=""6/27/2017"""
34,"Dressel, Caeleb","=""47.97""","=""2016 Olympic Games""","=""8/9/2016"""
35,"Dressel, Caeleb","=""47.97""","=""2019 CA MVN SMOC""","=""6/21/2019"""
38,"Adrian, Nathan","=""48.00""","=""2016 Pro Series - Mesa""","=""4/16/2016"""
39,"Apple, Zach","=""48.01""","=""2019 WUGS""","=""7/8/2019"""
40,"Dressel, Caeleb","=""48.02""","=""2016 Olympic Games""","=""8/10/2016"""
42,"Apple, Zach","=""48.03""","=""2018 Pan Pacific Champs""","=""8/10/2018"""
45,"Adrian, Nathan","=""48.05""","=""2016 Pro Series - Orlando""","=""3/5/2016"""
47,"Adrian, Nathan","=""48.06""","=""2016 Pro Series - Mesa""","=""4/16/2016"""
48,"Apple, Zach","=""48.06""","=""2018 Summer Nationals""","=""7/25/2018"""
50,"Farris, Dean","=""48.07""","=""2019 Summer Nationals""","=""7/31/2019"""
51,"Pieroni, Blake","=""48.08""","=""2018 Summer Nationals""","=""7/25/2018"""
55,"Pieroni, Blake","=""48.11""","=""2019 World Cup - Doha""","=""9/14/2018"""
57,"Jackson, Tate","=""48.12""","=""2019 Summer Nationals""","=""7/31/2019"""
59,"Dressel, Caeleb","=""48.13""","=""2018 Pan Pacific Champs""","=""8/10/2018"""
60,"Apple, Zach","=""48.14""","=""2017 Summer Nationals""","=""6/27/2017"""
62,"Pieroni, Blake","=""48.15""","=""2019 World Cup -  Jinan""","=""8/9/2019"""
65,"Adrian, Nathan","=""48.17""","=""2016 Pro Series -  Santa Clara""","=""6/5/2016"""
66,"Adrian, Nathan","=""48.17""","=""2019 Pan Am Games""","=""8/8/2019"""
67,"Adrian, Nathan","=""48.18""","=""2017 Pro Series - Mesa""","=""4/13/2017"""
69,"Haas, Townley","=""48.20""","=""2017 Summer Nationals""","=""6/27/2017"""
70,"Jackson, Tate","=""48.20""","=""2018 Summer Nationals""","=""7/25/2018"""
71,"Farris, Dean","=""48.21""","=""2019 Summer Nationals""","=""7/31/2019"""
72,"Pieroni, Blake","=""48.21""","=""2018 Pan Pacific Champs""","=""8/10/2018"""
74,"Dressel, Caeleb","=""48.22""","=""2018 Pan Pacific Champs""","=""8/10/2018"""
75,"Apple, Zach","=""48.23""","=""2017 Summer Nationals""","=""6/27/2017"""
78,"Dressel, Caeleb","=""48.23""","=""2016 Olympic Trials ""","=""6/30/2016"""
80,"Adrian, Nathan","=""48.25""","=""2018 Summer Nationals""","=""7/25/2018"""
81,"Dressel, Caeleb","=""48.26""","=""2017 World Champs""","=""7/26/2017"""
82,"Held, Ryan","=""48.26""","=""2016 Olympic Trials ""","=""6/30/2016"""
85,"Rooney, Maxime","=""48.27""","=""2018 Summer Nationals""","=""7/25/2018"""
88,"Adrian, Nathan","=""48.29""","=""2016 Atlanta Classic Swim Meet""","=""5/15/2016"""
89,"Jackson, Tate","=""48.29""","=""2019 WUGS""","=""7/8/2019"""
90,"Haas, Townley","=""48.30""","=""2018 Summer Nationals""","=""7/25/2018"""
91,"Pieroni, Blake","=""48.30""","=""2018 World Cup - Kazan""","=""9/8/2018"""
