Column1,Column2
"Ledecky, Katie",115.6881265
"McLaughlin, Katie",115.853
"Madden, Paige",116.4085
"Manuel, Simone",117.056
"Schmitt, Allison",117.2114463
"Forde, Brooke",117.5208176
"Smith, Leah",117.7553796
"Smith, Regan",117.9120882
"Raab, Meaghan",117.913
"DeLoof, Gabby",117.9412252
"Flickinger, Hali",117.9799976
"Cox, Madisyn",118.0755025
"Gemmell, Erin",118.37
"Margalis, Melanie",118.4074535
"Weyant, Emma",118.6575022
"Kozan, Justina",118.7146888
"Tuggle, Claire",118.8260976
"Laning, Erica",118.887
"Comerford, Mallory",119.1964808
"Strouse, Ashley",119.3737218
"Runge, Cierra",119.434
"Drabot, Katie",119.4932985
"Smoliga, Olivia",119.5486619
"Pitzer, Lauren",119.55
"Nordmann, Lillie",119.5631292
"Deloof, Catie",119.5866268
"Nordin, Emma",119.6082268
"Stege, Rachel",119.6098538
"Hicks, Chloe",119.6396358
"Pash, Kelly",119.6790606
"Spitz, Ayla",119.6873416
"Valls, Kyla",119.801
"Pasadyn, Felicia",119.82
"Dupre, Cora",119.89774
"Brown, Erika",119.9224716
"Stepanek, Chloe",119.9991028
"Huske, Torri",120.2174902
"Ivey, Isabel",120.230894
"Sullivan, Erica",120.2325
"McMurray, Olivia",120.2803379
"Wilson, Kayla",120.3057087
"Haebig, Autumn",120.327005
"Freriks, Geena",120.345
"Looney, Lindsay",120.359
"Meitz, Kaersten",120.4095856
"Dahlke, Miki",120.4510506
"Bathurst, Ella",120.525
"Fertel, Kelly",120.549
"Alons, Kylee",120.5598637
"Weitzeil, Abbey",120.5864672
"Ober, Ryley",120.664
"Yelle, Haley",120.678
"Atkinson, Emma",120.7886805
"Cronk, Micayla",120.815772
"Walsh, Gretchen",120.84
"Luther, Dakota",120.852
"Dolan, Abbie",120.8914376
"Francis, Riley",120.9143493
"Rasmus, Claire",120.9659777
"Heckman, Miranda",121.0159812
"Tankersley, Morgan",121.0380329
"Nero, Bailey",121.14
"Smith, Addison",121.2022535
"Ristic, Ella",121.2238511
"Hemstreet, Karling",121.363
"Pfeifer, Evie",121.4067086
"Gibson, Sarah",121.424
"Barczyk, Jillian",121.4565475
"Schmidt, Sierra",121.6134179
"Geer, Margo",121.6364286
"Sims, Bella",121.6721128
"Stout, Jordan",121.7490901
"Crom, Katie",121.7578906
"Dawson, Kendall",121.8505
"Liu, Kenisha",121.9149817
"Drumm, Megan",121.9179369
"Portz, Katie",121.927
"Harnish, Courtney",121.95
"Walsh, Alex",121.9803379
"Pish, Melissa",122.108
"Hinds, Natalie",122.1100421
"Weinstein, Claire",122.1158906
"Porter, Samantha",122.2020177
"Bates, Talia",122.2211538
"Roghair, Aurora",122.3855554
"Doty, Megan",122.5403543
"Grote, Josie",122.6303766
"Scott, Morgan",122.7459505
"Miller, Hayden",122.7775115
"Caldow, Elle",122.8571455
"Kraus, Alena",122.9296106
"Parker, Maxine",123.0677049
"Twichell, Ashley",123.1019543
"Cardwell, Summer",123.119014
"Felner, Gracie",123.1446685
"Lopez, Rylie",123.3028416
"Howley, Tess",123.4063473
"Peplowski, Anna",123.4312088
"Hodges, Macky",123.6143189
"Stotler, Sara",124.5108901
"Gormley, Isabel",124.6702381
"Thomas, Martina",124.7755372
"Small, Meghan",124.8251961
"Rausch, Malia",125.1610035
"Gormsen, Cavan",125.4310704
