="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id",="sanction_status"
="1","Manuel, Simone",="100",="149090952",="100 FR LCM",="22",="52.04",="52.04",="2020 Olympic Trials Wave II",="2019 World Champs",="7/26/2019",="Alto Swim Club",="PC",="",="1104",="56",="Yes"
="2","Comerford, Mallory",="100",="149090941",="100 FR LCM",="21",="52.98r",="52.98",="2020 Olympic Trials Wave II",="2019 World Champs",="7/21/2019",="Cardinal Aquatics",="KY",="",="1057",="56",="Yes"
="3","Ruck, Taylor",="100",="149090145",="100 FR LCM",="19",="53.03",="53.03",="2020 Olympic Trials Wave II",="2019 World Champs",="7/26/2019",="Alto Swim Club",="PC",="Yes",="1054",="56",="Yes"
="4","Ruck, Taylor",="100",="149090147",="100 FR LCM",="19",="53.04",="53.04",="2020 Olympic Trials Wave II",="2019 World Champs",="7/25/2019",="Alto Swim Club",="PC",="Yes",="1054",="56",="Yes"
="5","Comerford, Mallory",="100",="149088555",="100 FR LCM",="21",="53.10",="53.10",="2020 Olympic Trials Wave II",="2019 World Champs",="7/25/2019",="Cardinal Aquatics",="KY",="",="1051",="56",="Yes"
="5","Manuel, Simone",="100",="149089557",="100 FR LCM",="22",="53.10",="53.10",="2020 Olympic Trials Wave II",="2019 World Champs",="7/25/2019",="Alto Swim Club",="PC",="",="1051",="56",="Yes"
="7","Weitzeil, Abbey",="100",="143707293",="100 FR LCM",="22",="53.18",="53.18",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="7/31/2019",="California Aquatics",="PC",="",="1047",="56",="Yes"
="8","Hopkin, Anna",="100",="149089064",="100 FR LCM",="23",="53.21",="53.21",="2020 Olympic Trials Wave II",="2019 World Champs",="7/25/2019",="University Of Arkansas Swimming",="AR",="Yes",="1045",="56",="Yes"
="9","Comerford, Mallory",="100",="149088553",="100 FR LCM",="21",="53.22",="53.22",="2020 Olympic Trials Wave II",="2019 World Champs",="7/26/2019",="Cardinal Aquatics",="KY",="",="1045",="56",="Yes"
="10","Ruck, Taylor",="100",="140337880",="100 FR LCM",="18",="53.26",="53.26",="2020 Olympic Trials Wave II",="2019 Canadian Swimming Trials",="4/4/2019",="Alto Swim Club",="PC",="Yes",="1043",="56",="Yes"
="11","Haughey, Siobhan",="100",="150580115",="100 FR LCM",="22",="53.30",="53.30",="2020 Olympic Trials Wave II",="2020 Pro Series - Des Moines",="3/5/2020",="Club Wolverine",="MI",="Yes",="1041",="56",="Yes"
="11","Manuel, Simone",="100",="141792167",="100 FR LCM",="22",="53.30",="53.30",="2020 Olympic Trials Wave II",="2019 PC SCSC International",="6/7/2019",="Alto Swim Club",="PC",="",="1041",="56",="Yes"
="13","Manuel, Simone",="100",="149089558",="100 FR LCM",="22",="53.31",="53.31",="2020 Olympic Trials Wave II",="2019 World Champs",="7/25/2019",="Alto Swim Club",="PC",="",="1040",="56",="Yes"
="14","Haughey, Siobhan",="100",="141769580",="100 FR LCM",="21",="53.32",="53.32",="2020 Olympic Trials Wave II",="2019 Mare Nostrum Monaco",="6/8/2019",="Club Wolverine",="MI",="Yes",="1040",="56",="Yes"
="14","Haughey, Siobhan",="100",="152294869",="100 FR LCM",="21",="53.32",="53.32",="2020 Olympic Trials Wave II",="2019 Mare Nostrum Monaco 2",="6/9/2019",="Unattached",="MI",="Yes",="1040",="56",="Yes"
="16","Comerford, Mallory",="100",="140646365",="100 FR LCM",="21",="53.33",="53.33",="2020 Olympic Trials Wave II",="2019 Brazil Trophy ",="4/18/2019",="Unattached",="KY",="",="1039",="56",="Yes"
="17","Manuel, Simone",="100",="151649815",="100 FR LCM",="24",="53.34",="53.34",="2020 Olympic Trials Wave II",="2020 Stanford Invite",="11/21/2020",="Unattached",="PC",="",="1039",="56",="Yes"
="18","Gastaldello, Beryl",="100",="151863008",="100 FR LCM",="25",="53.40",="53.40",="2020 Olympic Trials Wave II",="2020 Championnats de France Elite ",="12/10/2020",="Unattached",="GU",="Yes",="1036",="56",="Yes"
="19","Brown, Erika",="100",="148831118",="100 FR LCM",="21",="53.42",="53.42",="2020 Olympic Trials Wave II",="2019 U.S. Open",="12/7/2019",="University Of Tennessee",="SE",="",="1035",="56",="Yes"
="19","Manuel, Simone",="100",="136913696",="100 FR LCM",="22",="53.42",="53.42",="2020 Olympic Trials Wave II",="2019 Pro Series - Knoxville",="1/12/2019",="Alto Swim Club",="PC",="",="1035",="56",="Yes"
="21","Manuel, Simone",="100",="148235301",="100 FR LCM",="23",="53.44",="53.44",="2020 Olympic Trials Wave II",="2020 Pro Series - Greensboro",="11/7/2019",="Alto Swim Club",="PC",="",="1034",="56",="Yes"
="21","Manuel, Simone",="100",="148231340",="100 FR LCM",="23",="53.44",="53.44",="2020 Olympic Trials Wave II",="2020 Pro Series - Knoxville",="1/19/2020",="Alto Swim Club",="PC",="",="1034",="56",="Yes"
="23","Haughey, Siobhan",="100",="149089003",="100 FR LCM",="21",="53.45",="53.45",="2020 Olympic Trials Wave II",="2019 World Champs",="7/25/2019",="Club Wolverine",="MI",="Yes",="1033",="56",="Yes"
="24","Huske, Torri",="100",="154106673",="100 FR LCM",="18",="53.46",="53.46",="2020 Olympic Trials Wave II",="2021 NC  TAC TITANS LC Premier",="4/9/2021",="Arlington Aquatic Club",="PV",="",="1033",="56",="Yes"
="25","Weitzeil, Abbey",="100",="143705885",="100 FR LCM",="22",="53.47",="53.47",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="7/31/2019",="California Aquatics",="PC",="",="1032",="56",="Yes"
="26","Brown, Erika",="100",="148229227",="100 FR LCM",="21",="53.49",="53.49",="2020 Olympic Trials Wave II",="2020 Pro Series - Knoxville",="1/19/2020",="University Of Tennessee",="SE",="",="1031",="56",="Yes"
="26","Manuel, Simone",="100",="148231339",="100 FR LCM",="23",="53.49",="53.49",="2020 Olympic Trials Wave II",="2020 Pro Series - Knoxville",="1/19/2020",="Alto Swim Club",="PC",="",="1031",="56",="Yes"
="28","Curzan, Claire",="100",="154671123",="100 FR LCM",="16",="53.55",="53.55",="2020 Olympic Trials Wave II",="2021 NC TAC Spring Invitational",="5/16/2021",="TAC Titans",="NC",="",="1032",="56",="Yes"
="28","Manuel, Simone",="100",="150580196",="100 FR LCM",="23",="53.55",="53.55",="2020 Olympic Trials Wave II",="2020 Pro Series - Des Moines",="3/5/2020",="Alto Swim Club",="PC",="",="1028",="56",="Yes"
="28","Manuel, Simone",="100",="141063708",="100 FR LCM",="22",="53.55",="53.55",="2020 Olympic Trials Wave II",="2019 Pro Series - Bloomington",="5/17/2019",="Alto Swim Club",="PC",="",="1028",="56",="Yes"
="31","Comerford, Mallory",="100",="149088554",="100 FR LCM",="21",="53.57",="53.57",="2020 Olympic Trials Wave II",="2019 World Champs",="7/25/2019",="Cardinal Aquatics",="KY",="",="1027",="56",="Yes"
="32","Haughey, Siobhan",="100",="140461740",="100 FR LCM",="21",="53.59",="53.59",="2020 Olympic Trials Wave II",="2019 Hong Kong Invite",="4/13/2019",="Univ. Of Michigan Swim Team",="MI",="Yes",="1026",="56",="Yes"
="33","Hopkin, Anna",="100",="149089065",="100 FR LCM",="23",="53.65",="53.65",="2020 Olympic Trials Wave II",="2019 World Champs",="7/25/2019",="University Of Arkansas Swimming",="AR",="Yes",="1023",="56",="Yes"
="33","Manuel, Simone",="100",="141078361",="100 FR LCM",="22",="53.65",="53.65",="2020 Olympic Trials Wave II",="2019 Pro Series - Bloomington",="5/17/2019",="Alto Swim Club",="PC",="",="1023",="56",="Yes"
="35","Weitzeil, Abbey",="100",="154427250",="100 FR LCM",="24",="53.66",="53.66",="2020 Olympic Trials Wave II",="2021 PC CAL Spring Classic",="4/24/2021",="California Aquatics",="PC",="",="1023",="56",="Yes"
="36","Weitzeil, Abbey",="100",="154113226",="100 FR LCM",="24",="53.68",="53.68",="2020 Olympic Trials Wave II",="2021 TYR Pro Swim Series - Mis",="4/10/2021",="California Aquatics",="PC",="",="1022",="56",="Yes"
="37","Ruck, Taylor",="100",="149090146",="100 FR LCM",="19",="53.69",="53.69",="2020 Olympic Trials Wave II",="2019 World Champs",="7/25/2019",="Alto Swim Club",="PC",="Yes",="1021",="56",="Yes"
="38","Manuel, Simone",="100",="148832928",="100 FR LCM",="23",="53.72",="53.72",="2020 Olympic Trials Wave II",="2019 U.S. Open",="12/7/2019",="Alto Swim Club",="PC",="",="1020",="56",="Yes"
="39","Manuel, Simone",="100",="140435465",="100 FR LCM",="22",="53.74",="53.74",="2020 Olympic Trials Wave II",="2019 Pro Series - Richmond",="4/13/2019",="Alto Swim Club",="PC",="",="1019",="56",="Yes"
="39","Walsh, Gretchen",="100",="143947048",="100 FR LCM",="16",="53.74",="53.74",="2020 Olympic Trials Wave II",="2019 World JR Champs",="8/22/2019",="Nashville Aquatic Club",="SE",="",="1022",="56",="Yes"
="41","Mack, Linnea",="100",="154560698",="100 FR LCM",="25",="53.78",="53.78",="2020 Olympic Trials Wave II",="2021 TYR Pro Swim Series - Ind",="5/13/2021",="Team Elite",="NC",="",="1017",="56",="Yes"
="42","Schmitt, Allison",="100",="150580279",="100 FR LCM",="29",="53.80",="53.80",="2020 Olympic Trials Wave II",="2020 Pro Series - Des Moines",="3/5/2020",="Sun Devil Swimming",="AZ",="",="1016",="56",="Yes"
="43","Haughey, Siobhan",="100",="149089002",="100 FR LCM",="21",="53.81",="53.81",="2020 Olympic Trials Wave II",="2019 World Champs",="7/25/2019",="Club Wolverine",="MI",="Yes",="1015",="56",="Yes"
