="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id",="sanction_status"
="1","Dressel, Caeleb",="100",="149088682",="100 FR LCM",="22",="46.96",="46.96",="2020 Olympic Trials Wave II",="2019 World Champs",="7/25/2019",="Gator Swim Club",="FL",="",="1080",="56",="Yes"
="2","Dressel, Caeleb",="100",="149096627",="100 FR LCM",="20",="47.17",="47.17",="2021 Summer Nationals (LCM)",="2017 World Champs",="7/27/2017",="Unattached",="FL",="",="1070",="56",="Yes"
="3","Dressel, Caeleb",="100",="149100042",="100 FR LCM",="20",="47.22r",="47.22",="2021 Summer Nationals (LCM)",="2017 World Champs",="7/29/2017",="Bolles School Sharks",="FL",="",="1067",="56",="Yes"
="4","Dressel, Caeleb",="100",="149098879",="100 FR LCM",="20",="47.26r",="47.26",="2021 Summer Nationals (LCM)",="2017 World Champs",="7/23/2017",="Bolles School Sharks",="FL",="",="1065",="56",="Yes"
="5","Dressel, Caeleb",="100",="149088683",="100 FR LCM",="22",="47.32",="47.32",="2020 Olympic Trials Wave II",="2019 World Champs",="7/24/2019",="Gator Swim Club",="FL",="",="1062",="56",="Yes"
="6","Dressel, Caeleb",="100",="149090938",="100 FR LCM",="22",="47.34r",="47.34",="2020 Olympic Trials Wave II",="2019 World Champs",="7/27/2019",="Gator Swim Club",="FL",="",="1061",="56",="Yes"
="7","Dressel, Caeleb",="100",="149088684",="100 FR LCM",="22",="47.35",="47.35",="2020 Olympic Trials Wave II",="2019 World Champs",="7/24/2019",="Gator Swim Club",="FL",="",="1061",="56",="Yes"
="8","Held, Ryan",="100",="143707149",="100 FR LCM",="24",="47.39",="47.39",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="7/31/2019",="New York Athletic Club",="MR",="",="1059",="56",="Yes"
="9","Held, Ryan",="100",="143705689",="100 FR LCM",="24",="47.43",="47.43",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="7/31/2019",="New York Athletic Club",="MR",="",="1057",="56",="Yes"
="10","Minakov, Andrei",="100",="152237139",="100 FR LCM",="18",="47.57",="47.57",="2020 Olympic Trials Wave II",="2020 RUS National Champs",="10/30/2020",="Unattached",="PC",="Yes",="1050",="56",="Yes"
="11","Rooney, Maxime",="100",="143707249",="100 FR LCM",="21",="47.61",="47.61",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="7/31/2019",="Pleasanton Seahawks",="PC",="",="1048",="56",="Yes"
="12","Dressel, Caeleb",="100",="149090934",="100 FR LCM",="22",="47.63r",="47.63",="2020 Olympic Trials Wave II",="2019 World Champs",="7/21/2019",="Gator Swim Club",="FL",="",="1047",="56",="Yes"
="13","Dressel, Caeleb",="100",="149096629",="100 FR LCM",="20",="47.66",="47.66",="2021 Summer Nationals (LCM)",="2017 World Champs",="7/26/2017",="Unattached",="FL",="",="1045",="56",="Yes"
="14","Apple, Zach",="100",="148830821",="100 FR LCM",="22",="47.69",="47.69",="2020 Olympic Trials Wave II",="2019 U.S. Open",="12/7/2019",="Mission Viejo Nadadores",="CA",="",="1044",="56",="Yes"
="15","Adrian, Nathan",="100",="109191346",="100 FR LCM",="27",="47.72",="47.72",="2021 Summer Nationals (LCM)",="2016 Olympic Trials ",="6/30/2016",="California Aquatics",="PC",="",="1042",="56",="Yes"
