"Manuel, Simone",52.73
"Weitzeil, Abbey",53.12
"Deloof, Catie",53.32
"Huske, Torri",53.36
"McLaughlin, Katie",53.37
"Curzan, Claire",53.44
"Walsh, Gretchen",53.67
"Brown, Erika",53.73
"Comerford, Mallory",53.82
"Kendall, Amanda",54.10
"Tetzloff, Aly",54.22
"Mack, Linnea",54.25
"Geer, Margo",54.25
"Hinds, Natalie",54.36
"Tang, Amy",54.47
"Smoliga, Olivia",54.49
"Ledecky, Katie",54.62
"Ivey, Isabel",54.63
"Schmitt, Allison",54.72
"DeLoof, Gabby",54.73
"Fisch, Claire",54.76
"Alons, Kylee",54.80
"Walsh, Alex",54.85
"Pelaez, Erika",54.99
"Dahlia (Worrell), Kelsi",55.10
"Garofalo, Isabella",55.13
"Nelson, Beata",55.14
"Parker, Maxine",55.16
"Douglass, Kate",55.18
"Perry, Ky-lee",55.25
"Brenner, Mandy",55.25
"Freriks, Geena",55.28
"Diener, Anelise",55.29
"Stewart, Kendyl",55.30
"Smith, Regan",55.32
"Liu, Kenisha",55.43
"Pitzer, Lauren",55.45
"Gemmell, Erin",55.49
"Cook, Julia",55.54
"Pish, Melissa",55.54
"Spink, Camille",55.56
"Dupre, Cora",55.56
"Konopka, Katrina",55.60
"Cronk, Micayla",55.61
"Pash, Kelly",55.61
"Flynn, Lindsay",55.62
"Porter, Samantha",55.63
"Liu, Amelia",55.64
"Spitz, Ayla",55.65
"Adams, Claire",55.67
"Dahlke, Miki",55.67
"Pearson, Samantha",55.68
"Fanz, Casey",55.69
"Drabot, Katie",55.74
"Dolan, Abbie",55.76
"Margalis, Melanie",55.77
"Rudolph, Janelle",55.79
"Stepanek, Chloe",55.82
"Rasmus, Claire",55.84
"Spadoni, Marina",55.86
"Felner, Gracie",55.87
"Novelline, Carly",55.91
"Albiero, Gabi",55.91
"Tiltmann, Reilly",55.93
"Hartman, Zoie",55.93
"Burchill, Veronica",55.95
"Neal, Lia",55.96
"Regenauer, Christiana",55.97
"Fackenthal, Amalie",55.98
"Hayes, Leah",55.99
"Eldridge, Raena",56.00
"Bilquist, Amy",56.01
"Nordmann, Lucie",56.02
"Gibson, Sarah",56.04
"Deloof, Ali",56.06
"Rothrock, Trude",56.07
"Gingrich, Leah",56.08
"Cooper, Grace",56.10
"Marsh, Alyssa",56.14
"Claesson, Emily",56.17
"Clark, Megan",56.19
"Nordmann, Lillie",56.27
"Hosack, Lillie",56.27
"Wheal, Emma",56.28
"Paegle, Kristina",56.29
"Schaedler, Quinn",56.29
"Ulett, Tristen",56.29
"Skirboll, Zoe",56.31
"Leehy, Mykenzie",56.33
"Gaines, Riley",56.36
"Ristic, Ella",56.36
"Scott, Morgan",56.36
"Heckman, Miranda",56.39
"Francis, Riley",56.40
"Tuggle, Claire",56.42
"Bates, Talia",56.43
"Goeders, Anya",56.46
"Lindner, Sophie",56.48
"Looney, Lindsay",56.51
"Stout, Jordan",56.52
"Welch, Ella",56.53
"Sims, Bella",56.55
"Shackelford, Sarah",56.62
"Fulmer, Amy",56.70
"Tankersley, Morgan",56.73
"Kozan, Justina",56.78
"Semenuk, Bridget",56.85
"Weir, Amanda",56.88
"Garcia, Elise",56.93
"Shanks, Cory",56.99
"Riley, Eloise",57.06
"Madden, Paige",57.21
"Hamilton, Rebekah",57.27
"Gersper, Aspen",57.34
"Helms, Katherine",57.41
"Wilson, Kayla",57.67
"Baker, Kathleen",57.84
"Kruger, Lainy",57.85
"Venema, Nikki",57.91
