"Ledecky, Katie",1:55.68
"McLaughlin, Katie",1:55.85
"Madden, Paige",1:56.40
"Manuel, Simone",1:57.05
"Schmitt, Allison",1:57.21
"Forde, Brooke",1:57.52
"Smith, Leah",1:57.75
"Smith, Regan",1:57.91
"Raab, Meaghan",1:57.91
"DeLoof, Gabby",1:57.94
"Flickinger, Hali",1:57.97
"Cox, Madisyn",1:58.07
"Gemmell, Erin",1:58.36
"Margalis, Melanie",1:58.40
"Weyant, Emma",1:58.65
"Kozan, Justina",1:58.71
"Tuggle, Claire",1:58.82
"Laning, Erica",1:58.88
"Comerford, Mallory",1:59.19
"Strouse, Ashley",1:59.37
"Runge, Cierra",1:59.43
"Drabot, Katie",1:59.49
"Smoliga, Olivia",1:59.54
"Pitzer, Lauren",1:59.55
"Nordmann, Lillie",1:59.56
"Deloof, Catie",1:59.58
"Nordin, Emma",1:59.60
"Stege, Rachel",1:59.60
"Hicks, Chloe",1:59.63
"Pash, Kelly",1:59.67
"Spitz, Ayla",1:59.68
"Valls, Kyla",1:59.80
"Pasadyn, Felicia",1:59.81
"Dupre, Cora",1:59.89
"Brown, Erika",1:59.92
"Stepanek, Chloe",1:59.99
"Huske, Torri",2:00.21
"Ivey, Isabel",2:00.23
"Sullivan, Erica",2:00.23
"McMurray, Olivia",2:00.28
"Wilson, Kayla",2:00.30
"Haebig, Autumn",2:00.32
"Freriks, Geena",2:00.34
"Looney, Lindsay",2:00.35
"Meitz, Kaersten",2:00.40
"Dahlke, Miki",2:00.45
"Bathurst, Ella",2:00.52
"Fertel, Kelly",2:00.54
"Alons, Kylee",2:00.55
"Weitzeil, Abbey",2:00.58
"Ober, Ryley",2:00.66
"Yelle, Haley",2:00.67
"Atkinson, Emma",2:00.78
"Cronk, Micayla",2:00.81
"Walsh, Gretchen",2:00.83
"Luther, Dakota",2:00.85
"Dolan, Abbie",2:00.89
"Francis, Riley",2:00.91
"Rasmus, Claire",2:00.96
"Heckman, Miranda",2:01.01
"Tankersley, Morgan",2:01.03
"Nero, Bailey",2:01.14
"Smith, Addison",2:01.20
"Ristic, Ella",2:01.22
"Hemstreet, Karling",2:01.36
"Pfeifer, Evie",2:01.40
"Gibson, Sarah",2:01.42
"Barczyk, Jillian",2:01.45
"Schmidt, Sierra",2:01.61
"Geer, Margo",2:01.63
"Sims, Bella",2:01.67
"Stout, Jordan",2:01.74
"Crom, Katie",2:01.75
"Dawson, Kendall",2:01.85
"Liu, Kenisha",2:01.91
"Drumm, Megan",2:01.91
"Portz, Katie",2:01.92
"Harnish, Courtney",2:01.94
"Walsh, Alex",2:01.98
"Pish, Melissa",2:02.10
"Hinds, Natalie",2:02.11
"Weinstein, Claire",2:02.11
"Porter, Samantha",2:02.20
"Bates, Talia",2:02.22
"Roghair, Aurora",2:02.38
"Doty, Megan",2:02.54
"Grote, Josie",2:02.63
"Scott, Morgan",2:02.74
"Miller, Hayden",2:02.77
"Caldow, Elle",2:02.85
"Kraus, Alena",2:02.92
"Parker, Maxine",2:03.06
"Twichell, Ashley",2:03.10
"Cardwell, Summer",2:03.11
"Felner, Gracie",2:03.14
"Lopez, Rylie",2:03.30
"Howley, Tess",2:03.40
"Peplowski, Anna",2:03.43
"Hodges, Macky",2:03.61
"Stotler, Sara",2:04.51
"Gormley, Isabel",2:04.67
"Thomas, Martina",2:04.77
"Small, Meghan",2:04.82
"Rausch, Malia",2:05.16
"Gormsen, Cavan",2:05.43
