"Haas, Townley",1:47.30
"Seliskar, Andrew",1:46.64
"Conger, Jack",1:50.96
"Pieroni, Blake",1:47.09
"Smith, Kieran",1:44.75
"Grothe, Zane",1:48.81
"Levant, Jack",1:50.03
"Farris, Dean",1:47.43
"Urlando, Luca",1:47.32
"Apple, Zach",1:46.78
"Lochte, Ryan",1:51.27
"Rooney, Maxime",1:47.53
"House, Grant",1:46.83
"Smith, Clark",1:50.67
"Kibler, Drew",1:47.09
"Theall, Mark",1:48.47
"Magahey, Jake",1:47.06
"Dressel, Caeleb",1:46.47
"Bentz, Gunnar",1:51.86
"Callan, Patrick",1:46.97
"D'Arrigo, Mitch",1:49.09
"Foster, Carson",1:46.33
"Julian, Trenton",1:46.62
"Hill, Julian",1:48.33
"Litherland, Jay",1:48.94
"Freeman, Trey",1:47.99
"DeVine, Abrahm",1:51.81
"Newkirk, Jeff",1:47.62
"Shoults, Grant",1:50.83
"Malone, Reed",1:49.65
"Katz, Austin",1:51.01
"Bybee, Cody",1:47.98
"Reilman, Joey",1:52.51
"Mitchell, Jake",1:48.86
"Knowles, Eric",1:49.01
"Loy, Drew",1:50.31
"Dahlgren, Jack",1:48.87
"Paulson, Colton",1:49.25
"Held, Ryan",1:51.40
"Zettle, Alex",1:50.54
"Forst, Preston",1:49.83
"Stewart, Sam",1:51.35
"Bresette, Liam",1:49.33
"Rose, Dare",1:49.62
"Sammon, Patrick",1:50.34
"Pebley, Jacob",1:50.09
"Newmark, Jake",1:53.16
"Wieser, Chris",1:52.85
"Hobson, Luke",1:54.68
"Higgins, Walker",1:50.16
"Davis, Wyatt",1:47.97
"Stone, Lane",1:48.84
"Carrozza, Coby",1:48.67
"Harting, Zach",1:48.75
"Lasco, Destin",1:49.71
"Dolan, Jack",1:49.13
"Gray, Andrew",1:51.43
"Cotter, Michael",1:52.43
"Schilling, Sam",1:50.68
"Sztolcman, Christian",1:48.15
"Walker, Jack",1:48.19
"Jett, Gabriel",1:50.08
"Fenlon, Matthew",1:52.64
"Maurer, Luke",1:49.79
"Sannem, Jake",1:50.04
"Brown, Zach",1:48.37
"Delakis, Paul",1:48.85
"Kalisz, Chase",1:50.20
"Miller, Luke",1:49.87
"Lamastra, Connor",1:53.68
"Grieshop, Sean",1:50.65
"Fail, Brooks",1:48.95
"Steele, Sam",1:49.67
"Gately, Liam",1:51.40
"Casas, Shaine",1:49.48
"Abruzzo, Andrew",1:50.42
"Matejka, Andrew",1:53.18
"McKeen, Sadler",1:50.26
"Thornbrue, Luke",1:49.15
"Petrides, Michael",1:50.87
"Waters, Ryan",1:51.04
"Yeadon, Zach",1:51.46
"Jackson, Will",1:54.34
"Tenney, Michael",1:51.24
"Manoff, Blake",1:50.11
"Neri, Parker",1:49.82
"Hils, Zach",1:50.75
"Mahaffey, Dakota",1:49.73
"Daly, Michael",1:50.75
"Hoover, Sam",1:51.81
"Wozencraft, Cooper",1:50.76
"Wright, Jack",1:50.90
"Hauss, Graham",1:52.23
"Macmillan, Will",1:51.73
"Auchinachie, Cameron",1:49.62
